Date,Value,Value_pred,USD_1,USD_1_pred
9/21/2016,598.88,500.6674194,1326.1,1335.040283
9/22/2016,597.42,500.9194336,1339.1,1339.823975
9/23/2016,594.08,505.3180847,1338.65,1333.509155
9/24/2016,603.88,506.2230835,0,0
9/25/2016,601.74,516.8577271,0,0
9/26/2016,598.98,516.4734497,1340.5,1323.53125
9/27/2016,605.96,513.1576538,1327,1316.244263
9/28/2016,605.67,520.1239014,1322.5,1316.305176
9/29/2016,603.85,520.1417236,1318.1,1318.106812
9/30/2016,609.39,517.1485596,1322.5,1309.207642
10/1/2016,614.82,522.2041016,0,0
10/2/2016,612.98,527.492981,0,0
10/3/2016,611.85,525.0769043,1313.3,1291.6521
10/4/2016,609.62,523.3569946,1283.3,1271.940063
10/5/2016,607.18,521.237854,1269.4,1260.515747
10/6/2016,612.08,518.331604,1254.5,1259.527344
10/7/2016,617.21,522.5430298,1258.75,1262.773682
10/8/2016,614.74,527.6010742,0,0
10/9/2016,615.65,524.9129639,0,0
10/10/2016,617.54,525.3514404,1259.5,1265.777954
10/11/2016,614.77,527.5950317,1253.45,1267.316528
10/12/2016,635.01,524.744812,1256.5,1264.441406
10/13/2016,635.96,543.6912842,1261.05,1260.178833
10/14/2016,634.02,546.3135986,1251.75,1258.307007
10/15/2016,637.94,542.9889526,0,0
10/16/2016,641.42,547.5596313,0,0
10/17/2016,638.97,551.5358887,1254.8,1262.196777
10/18/2016,636.29,548.8111572,1258.2,1269.359009
10/19/2016,629.25,545.9865723,1269.05,1273.335938
10/20/2016,627.72,539.4212646,1271.65,1272.349121
10/21/2016,631.92,537.4042969,1266.05,1269.935791
10/22/2016,655.48,541.5272217,0,0
10/23/2016,653.25,564.1205444,0,0
10/24/2016,651.39,563.2914429,1265.55,1269.01062
10/25/2016,655.31,560.1255493,1269.4,1268.778564
10/26/2016,651.45,565.284729,1270.5,1270.618286
10/27/2016,682.22,562.0568848,1266.25,1273.022217
10/28/2016,687.68,590.6610107,1273,1279.17041
10/29/2016,685.91,598.6199951,0,0
10/30/2016,698,595.1721802,0,0
